name,type,start_time,duration,"value"
"USB LS and FS","v1frame",0.498862292,0.00000025,"EOP"
"USB LS and FS","v1frame",0.498862917,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.498863583,0.000000667,"PID NAK"
"USB LS and FS","v1frame",0.49886425,0.00000025,"EOP"
"USB LS and FS","v1frame",0.499729125,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.499729792,0.000000667,"PID SOF"
"USB LS and FS","v1frame",0.499730458,0.000001,"Frame # 0x7F4"
"USB LS and FS","v1frame",0.499731458,0.000000417,"CRC OK 0x0E"
"USB LS and FS","v1frame",0.499731875,0.00000025,"EOP"
"USB LS and FS","v1frame",0.499854458,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.499855125,0.000000667,"PID IN"
"USB LS and FS","v1frame",0.499855792,0.000000917,"Address=0x02 Endpoint=0x02"
"USB LS and FS","v1frame",0.499856708,0.000000417,"CRC OK 0x10"
"USB LS and FS","v1frame",0.499857125,0.00000025,"EOP"
"USB LS and FS","v1frame",0.499857792,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.499858458,0.000000667,"PID NAK"
"USB LS and FS","v1frame",0.499859125,0.00000025,"EOP"
"USB LS and FS","v1frame",0.499859958,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.499860625,0.000000667,"PID IN"
"USB LS and FS","v1frame",0.499861292,0.000000917,"Address=0x02 Endpoint=0x01"
"USB LS and FS","v1frame",0.499862208,0.000000417,"CRC OK 0x03"
"USB LS and FS","v1frame",0.499862625,0.00000025,"EOP"
"USB LS and FS","v1frame",0.499863292,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.499863958,0.000000667,"PID NAK"
"USB LS and FS","v1frame",0.499864625,0.00000025,"EOP"
"USB LS and FS","v1frame",0.499865458,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.499866125,0.000000667,"PID IN"
"USB LS and FS","v1frame",0.499866792,0.000000917,"Address=0x03 Endpoint=0x01"
"USB LS and FS","v1frame",0.499867708,0.000000417,"CRC OK 0x1C"
"USB LS and FS","v1frame",0.499868125,0.00000025,"EOP"
"USB LS and FS","v1frame",0.500729333,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.50073,0.000000667,"PID SOF"
"USB LS and FS","v1frame",0.500730667,0.000001,"Frame # 0x7F5"
"USB LS and FS","v1frame",0.500731667,0.000000417,"CRC OK 0x11"
"USB LS and FS","v1frame",0.500732083,0.00000025,"EOP"
"USB LS and FS","v1frame",0.500854708,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.500855375,0.000000667,"PID IN"
"USB LS and FS","v1frame",0.500856042,0.000000917,"Address=0x02 Endpoint=0x02"
"USB LS and FS","v1frame",0.500856958,0.000000417,"CRC OK 0x10"
"USB LS and FS","v1frame",0.500857375,0.00000025,"EOP"
"USB LS and FS","v1frame",0.500858,0.000001458,"Error packet"
"USB LS and FS","v1frame",0.500860125,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.500860792,0.000000667,"PID IN"
"USB LS and FS","v1frame",0.500861458,0.000000917,"Address=0x02 Endpoint=0x01"
"USB LS and FS","v1frame",0.500862375,0.000000417,"CRC OK 0x03"
"USB LS and FS","v1frame",0.500862792,0.00000025,"EOP"
"USB LS and FS","v1frame",0.500863458,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.500864125,0.000000667,"PID NAK"
"USB LS and FS","v1frame",0.500864792,0.00000025,"EOP"
"USB LS and FS","v1frame",0.501729583,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.50173025,0.000000667,"PID SOF"
"USB LS and FS","v1frame",0.501730917,0.000001,"Frame # 0x7F6"
"USB LS and FS","v1frame",0.501731917,0.000000417,"CRC OK 0x19"
"USB LS and FS","v1frame",0.501732333,0.00000025,"EOP"
"USB LS and FS","v1frame",0.501854958,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.501855625,0.000000667,"PID IN"
"USB LS and FS","v1frame",0.501856292,0.000000917,"Address=0x02 Endpoint=0x02"
"USB LS and FS","v1frame",0.501857208,0.000000417,"CRC OK 0x10"
"USB LS and FS","v1frame",0.501857625,0.00000025,"EOP"
"USB LS and FS","v1frame",0.50185825,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.501858917,0.000000667,"PID NAK"
"USB LS and FS","v1frame",0.501859583,0.00000025,"EOP"
"USB LS and FS","v1frame",0.501860417,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.501861083,0.000000667,"PID IN"
"USB LS and FS","v1frame",0.50186175,0.000000917,"Address=0x02 Endpoint=0x01"
"USB LS and FS","v1frame",0.501862667,0.000000417,"CRC OK 0x03"
"USB LS and FS","v1frame",0.501863083,0.00000025,"EOP"
"USB LS and FS","v1frame",0.50186375,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.501864417,0.000000667,"PID NAK"
"USB LS and FS","v1frame",0.501865083,0.00000025,"EOP"
"USB LS and FS","v1frame",0.501865792,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.501866458,0.000000667,"PID IN"
"USB LS and FS","v1frame",0.501867125,0.000000917,"Address=0x03 Endpoint=0x01"
"USB LS and FS","v1frame",0.501868042,0.000000417,"CRC OK 0x1C"
"USB LS and FS","v1frame",0.501868458,0.00000025,"EOP"
"USB LS and FS","v1frame",0.502729833,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.5027305,0.000000667,"PID SOF"
"USB LS and FS","v1frame",0.502731167,0.000001,"Frame # 0x7F7"
"USB LS and FS","v1frame",0.502732167,0.000000417,"CRC OK 0x06"
"USB LS and FS","v1frame",0.502732583,0.00000025,"EOP"
"USB LS and FS","v1frame",0.502855125,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.502855792,0.000000667,"PID IN"
"USB LS and FS","v1frame",0.502856458,0.000000917,"Address=0x02 Endpoint=0x02"
"USB LS and FS","v1frame",0.502857375,0.000000417,"CRC OK 0x10"
